#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
挂	悬__, __钩, 壁__, 倒__
耀	炫__, __邦, __眼, 光__
涉	__及, 干__, 交__, __嫌
谈	__判, 交__, __话, 会__
伊	__拉克, __斯兰教, __斯兰, __雯
随	__着, __后, __机, __便
馑	饥__
茂	__林, __龙, __盛, 仁__
徕	招__
抗	__日, __战, 抵__, 反__
脖	__子, __颈
料	材__, 资__, 饲__, 不__
蜚	__声, 流言__语
亟	__待, __待解决
洞	窑__, __穴, 漏__, __口
造	__成, 创__, 改__, 制__
咣	__当
猢	__狲
滤	__色镜, 过__, __光镜, 过__器
瘤	肉__, 肿__, __子
黝	__黑, 黑____, __暗
缪	__斯
般	一__, 一__来说, 一__说来, 这__
蚯	__蚓
作	工__, __为, __用, __出
河	__南, 热__, 黄__, __流
欲	食__, __望, 情__, 意__
侵	__犯, __略, __占, __蚀
临	面__, __时, __床, 来__
犷	粗__
然	自__, __后, 当__, 虽__
疹	湿__, 麻__
吸	呼__, __引, __收, __引力
墻	瑞__
场	市__, 现__, 市__经济, 商__
宽	__其, __度, __敞, __阔
稼	庄__, __祥, 秋庄__, 庄__人
线	路__, __圈, 曲__, __索
轼	苏__
捂	__住
黛	__玉
反	__映, __应, __对, __复
牌	桥__, 金__, 名__, __子
雏	__形
戌	戊__, __狗, __羊
姑	__娘, 大__山, 小__娘, 大__娘
筒	话__, 手电__, 滚__, 电__
幔	帷__, 纱__
苗	__条, __族, 种__, __头
庸	金__, 大__, __俗, __医
若	__干, __是, 倘__, 沫__
话	说__, 的__, 电__, 讲__
旖	__旎, 风光__旎
赞	称__, __扬, __成, __赏
凡	不__, __是, 平__, 非__
瓣	花__, __膜, 蒜__, 花__儿
卢	居__仓, __浮宫, __奥, __荣
知	__道, __识, 不__, 通__
除	__了, 消__, 解__, 排__
巩	__固, __俐曾, __膜
惫	疲__, 疲__不堪
罪	犯__, 犯__分子, __犯, __行
揭	__示, __开, __发, __穿
扬	发__, 赞__, 弘__, 宣__
衰	__老, __退, __落, 不__
泳	__三, 游__, 仰__, __装
蹴	一__而就
狷	__介
其	__中, __他, __实, 尤__
闹	热__, 看热__, __市, 吵__
驼	骆__, __背, 金__帮, __子
绿	__化, __色, __化带, 祖母__
渔	__民, __业, __船, __夫
愁	发__, 忧__, __云, 犯__
萃	出类拔__, 荟__
掂	__量
暄	寒__
骈	__文
覆	__盖, __盖率, 颠__, 翻天__地
沈	__阳, __阳市, __铁, __乐满
匍	__匐
湃	心潮澎__, 汹涌澎__, 澎__
睬	理__
沌	混__, __怀
颐	__和园, 方__隆准
引	__起, __导, 吸__, __进
应	__该, __当, __用, 反__
赅	言简意__
枚	一____
獐	黄__, __子
儡	傀__
鳜	__鱼
厢	车__, 一__情愿, __房, 城__
假	__如, __设, 暑__, __说
崩	__溃, 分__离析, 山__, 天__地裂
鲨	__鱼, 黑__
循	__环, 遵__, __序渐进, 恶性__环
抬	__头, __高, __起, 哄__
是	就__, 还__, 但__, 只__
械	机__, 器__, 机__化, 机__性能
讲	__话, __究, 来__, 演__
麟	麒__, 玉__, 凤毛__角, 咏__
爷	少__, 大__, 宗二__, 老__
冶	__金, 陶__, 铜__镇
锹	铁__
咸	__菜, __鱼, __瓜街, __肉
贞	曼__, 婉__, 元__, 忠__
骼	骨__
鸿	__宾, 哀__遍野, 来__, __毛
胀	通货膨__, 膨__, 通__, 通货膨__率
视	重__, 电__, 忽__, __为
赉	孟根达__
俊	__生, __芳, 英__, 海部__树
契	默__, __约, __机, __丹
磐	__石, 坚如__石
寒	__松, __风, __冷, __暄
录	记__, __取, __入, __音
黔	__东, __驴技穷
酸	__奶, 乳__, 硅__盐, 脂肪__
教	__育, 宗__, 佛__, __学
瞥	__见
俎	越__代庖
跻	__身
也	__许, 再__, __好, __就是说
淞	__沪
铮	__亮
靥	笑__
囤	__积
秦	__王, 先__, __汉, __大河
嵩	__县, __山
峨	巍__, __冠博带, __嵋山
恫	__吓
捭	纵横__阖
括	包__, 概__, 囊__, 总__
景	情__, 背__, 前__, __象
潼	临__, __关
熠	____生辉
诲	教__
滴	__水, 点__, __水成冰, 一____
凶	__手, __杀, __杀案, __犯
铸	__造厂, __造, __成, 浇__
须	必__, 无__, __知, 胡__
基	__础, __本, __因, __层
孽	余__
广	__大, __泛, __州, __告
巾	围__, 毛__, __帼, 红领__
漪	涟__
沉	__重, __默, __思, 深__
醋	__酸, __坛子, 油盐酱__, 米__
上	__海, 以__, 身__, __年
缈	缥__, 飘__
后	以__, 然__, 之__, __来
频	__繁, __率, __度, 高__
餐	配__, __厅, __桌, 早__
蚂	__蚁, __蚱
底	到__, 彻__, __下, 鞋__
缔	取__, __结, __造, __订
怖	恐__, 恐__主义, 白色恐__
蒙	__古, __族, 启__, __古族
攘	熙熙____, 熙来__往
售	销__, 出__, __货员, 零__
辟	开__, 精__, 开天__地, 另__蹊径
玄	__奘, 悟__, __学, 故弄__虚
绶	传__
馏	蒸__, __分油, 分__, 分__塔
砰	__然心动
岩	__石, __层, 仙人__, __洞
芭	__蕉, __蕾, __粒, __蕾舞
茬	话__
枯	__燥, __竭, __黄, __枝
胜	__利, __天, 战__, __任
袱	包__, 背包__
椰	__子汁, __莱
足	满__, 不__, __够, __以
灌	__溉, 排__, 浇__, __输
亵	__渎, 猥__
伴	__随, 同__, 伙__, 老__
玷	__污
妈	他__的, 老__子, 他__, 姨__
庐	初出茅__, __山, __江
甸	沉____, 缅__, 伊__园, 托__普米族
妻	__子, 夫__, __管严, 前__
鬼	__神, 小__, 见__, __魂
渴	__望, __求, 如饥似__, 焦__
胁	威__, __迫
灿	__烂, 光辉__烂, 才__, ____然
框	抽样__, __架, __图, 镜__
泉	温__, 源__, 龙__, 井__
赈	__灾
凋	__谢, __敝, __零
蹊	__径, __跷, 另辟__径, 独辟__径
罩	灯__, 笼__, 口__, 床__
壑	沟__, 沟沟____
薹	蒜__
绕	围__, __过, 萦__, 环__
槛	门__
晚	__上, 傍__, 昨__, __饭
迟	__疑, 推__, 延__, 姗姗来__
谑	戏__, 笑__
牢	__固, 发__骚, __骚, __记
盥	__洗
坤	乾__, __宁宫, 体__, 储玉__
颗	__粒, 一____
拭	擦__, __泪, __目以待
柯	__比, __达, 南__一梦, 契__夫
娼	暗__
裱	装__, __糊
跳	__舞, 心__, __出, __动
轴	卷__, 坐标__, 连__转, 后__辘
号	符__, 信__, __召, 口__
偶	__尔, __然, __像, 丧__
啸	呼__, 天__, 长__, 海__
移	转__, __民, __动, 坚定不__
贾	巨__
竽	滥__充数
忿	____不平, __恨, 怨__, 气__
态	__度, 状__, 生__, 形__
膀	肩__, 翅__, __子, __胱
节	__目, 调__, 音__, 季__
构	结__, 机__, __成, __造
梆	____硬
消	__息, __失, __费, 取__
刍	__议
厌	讨__, __恶, __食, 不__其烦
咎	__由自取, 引__辞职, 既往不__
堑	吃一__
怙	罗__罗
媒	__介, 做__, __人, __质
帕	手__, __勒斯特里纳, ____木哈拉, __德摩瓦提
羔	王八__子
茗	品__, 香__
肖	十二生__, 生__, 惟妙惟__, __像
褛	褴__, __空
濮	东__
伟	__大, 宏__, __民, 雄__
倡	提__, __导, __议, 反腐__廉
冠	__华, __心病, __军, 牙__
锣	__鼓, 紧__密鼓, __鼓喧天, 鸣__开道
颦	一__一笑
踝	足__
愫	情__
纪	经__人, 世__, __律, 年__
掬	憨态可__
术	技__, 科学技__, 艺__, 学__
辜	无__, __负
踵	接__而来, 接__而至, 摩肩擦__, 摩顶放__
猷	大__
吹	__塑, __动, __嘘, __捧
疸	黄__
颞	__颌, __颥
稽	滑__, __查, 无__之谈, 会__
吏	官__, __治, 大__, 贪官污__
精	__神, __神文明, __力, __心
臀	__部, __围
吉	__祥, __林省, __凶, __林
皙	白__
硷	__基
歇	__息, 停__, 安__, __斯底里
裆	裤__
汉	__字, __语, 武__, __子
珍	玉__, __珠, __贵, 阿__
克	伊拉__, __服, 普__, 马__思
今	__天, __年, __后, 如__
前	目__, 面__, 之__, 以__
双	__方, __手, __眼, __目
坏	破__, 好__, __人, 吓__
哎	__呀, __哟, __哟哟
塑	吹__, __料, __造, 雕__
姐	小__, __妹, 顺__, 大__
幕	屏__, 开__, 序__, 闭__
翔	飞__, __实, 凤__, 南__
骝	马__岗
胖	肥__, __子, 肥__病, 肥__症
匾	__额
湍	__急, __流
呜	__咽, __呼, __哩__嘟, __飞
泞	泥__
科	__学, __技, __学技术, 学__
镣	脚__
巨	__大, 艰__, __汉, __人
绪	情__, 志__, 思__, 光__
扭	__曲, __转, __头, __动
杯	举__, 茶__, 干__, 酒__
卷	__入, __子, 胶__, __叶蛾
馨	温__, __香, 宁__儿, 恬__
闸	__口, 开__, 新__路, 水__
固	__定, 巩__, __定资产, __然
导	领__, 指__, 引__, __致
齿	牙__, 龋__, 口__, 不__
骁	__勇
脂	__肪, 油__, __肪酸, 胭__
萄	葡__牙, 葡__糖, 葡__酒, 葡__
辉	__煌, 光__, 生__, 交相__映
丈	__夫, 方__, __母娘, 大__夫
再	不__, __次, __也, __结晶
侃	____而谈, 调__
咏	__唱, __晨, __诵, __赞
霎	__时, 一__, 一__时, __时间
库	__存, 数据__, 国__券, 水__
砂	__浆, __子, 翻__, 型__
尔	偶__, 比__, 哈__滨, 戈__巴乔夫
挖	__掘, __苦, 开__, __潜
炮	__兵, 鞭__, __弹, 迫击__
沟	__通, 山__, 竹__, ____坎坎
伞	雨__, 打__, 晴雨__
删	__去, __节, __除, __改
嚣	喧__, __张气焰
颧	__骨
符	__合, __号, 字__, 字__集
鸨	老__
披	__露, __风, __星戴月, 所向__靡
爆	__发, __炸, __发力, __破
躲	__避, __开, __闪, ____闪闪
