# Heading: Chengyu num. sources
#
# Source:
# 教育部成語典--總資料庫下載
# http://dict.moe.gov.tw/chengyu/mandarin/fulu/report/index.htm
# http://dict.moe.gov.tw/chengyu/mandarin/fulu/report/download.htm
#
# Contains Excel lists of 48,032 chengyu with number of references in up to 27 different books
#
# Downloaded January 2008
#
#
#term	num_references
一毛不拔	27
掩耳盜鈴	27
一丘之貉	27
囫圇吞棗	27
班門弄斧	27
朝三暮四	27
水落石出	26
名落孫山	26
胸有成竹	26
竭澤而漁	27
指鹿為馬	26
天衣無縫	27
舉一反三	26
江郎才盡	26
青出於藍	26
口若懸河	25
驚弓之鳥	25
含沙射影	25
一敗塗地	25
草木皆兵	25
投筆從戎	25
東窗事發	25
畫蛇添足	25
勢如破竹	25
滄海桑田	25
望梅止渴	25
司空見慣	25
南轅北轍	25
夜郎自大	25
信口雌黃	25
狼狽為奸	25
狐假虎威	25
作法自斃	25
為虎作倀	25
如火如荼	25
老馬識途	25
杞人憂天	27
一暴十寒	24
守株待兔	24
不學無術	24
四面楚歌	24
奇貨可居	24
刻舟求劍	24
走馬看花	24
後來居上	24
負荊請罪	24
對牛彈琴	24
一鼓作氣	24
杯弓蛇影	24
紙上談兵	24
破鏡重圓	24
東山再起	24
樂不思蜀	24
濫竽充數	24
打草驚蛇	24
揠苗助長	24
功虧一簣	24
入木三分	24
一鳴驚人	24
螳臂當車	23
死灰復燃	23
咄咄逼人	23
出奇制勝	23
出類拔萃	23
一竅不通	23
食古不化	23
一日千里	23
吹毛求疵	23
一諾千金	23
騎虎難下	23
投鼠忌器	23
孤注一擲	23
坐井觀天	23
滄海一粟	23
如坐針氈	23
門可羅雀	23
攀龍附鳳	23
痛心疾首	23
易如反掌	23
膾炙人口	23
趾高氣揚	23
唾面自乾	23
推心置腹	23
病入膏肓	23
蕭規曹隨	23
庸人自擾	23
緣木求魚	23
雙管齊下	22
一言九鼎	22
自相矛盾	22
扶搖直上	22
舉案齊眉	22
閉門造車	22
歧路亡羊	22
風聲鶴唳	22
老當益壯	22
車水馬龍	22
未雨綢繆	22
先發制人	22
洛陽紙貴	22
孤陋寡聞	22
不共戴天	22
滿腹經綸	22
飲鴆止渴	22
退避三舍	22
世外桃源	22
剛愎自用	22
出爾反爾	22
目不識丁	22
水深火熱	22
假公濟私	22
孤掌難鳴	22
偃旗息鼓	22
妄自尊大	22
百折不撓	22
拾人牙慧	22
耳濡目染	22
得心應手	22
乘風破浪	22
杯水車薪	22
車載斗量	22
滿城風雨	22
燃眉之急	22
言不由衷	22
敝帚自珍	22
兔死狗烹	21
拋磚引玉	21
門庭若市	21
不倫不類	21
虎頭蛇尾	21
空中樓閣	21
天經地義	21
殺身成仁	21
心猿意馬	21
一視同仁	21
雪中送炭	21
甘拜下風	21
無地自容	21
群策群力	21
過河拆橋	21
有備無患	21
裹足不前	21
前倨後恭	21
弄巧成拙	21
噤若寒蟬	21
戰戰兢兢	21
瓜田李下	21
借花獻佛	21
故步自封	21
笑裡藏刀	21
望塵莫及	21
水到渠成	21
半途而廢	21
一籌莫展	21
抱薪救火	21
大器晚成	21
莫逆之交	21
芒刺在背	21
按圖索驥	21
強弩之末	21
一網打盡	21
蜀犬吠日	21
曲突徙薪	21
矯枉過正	21
吳牛喘月	21
居安思危	21
賓至如歸	21
不恥下問	21
不可救藥	21
河東獅吼	21
開門見山	21
手舞足蹈	21
