# Heading: HSK Level (pre-2010)
#
# Source: http://hskflashcards.com/download.php
#
# In the original list, different senses of a word can appear in either the same or a different level.
# This list below has all duplicate words removed, and the second column represents the lowest level in which
# a word appears.
#
#term	level
啊	1
矮	1
愛	1
愛人	1
安靜	1
安排	1
八	1
把	1
爸爸	1
吧	1
白	1
百	1
擺	1
班	1
搬	1
半	1
半天	1
辦	1
辦法	1
辦公室	1
幫助	1
飽	1
抱	1
報	1
杯	1
杯子	1
北	1
北邊	1
倍	1
被	1
本	1
本子	1
比	1
比較	1
比賽	1
筆	1
必須	1
邊	1
變	1
變成	1
變化	1
遍	1
錶	1
表	1
表示	1
表現	1
表演	1
表揚	1
別	1
別的	1
別人	1
病	1
不	1
不錯	1
不但	1
不久	1
不如	1
不同	1
不要	1
不用	1
布	1
部分	1
擦	1
才	1
菜	1
參觀	1
參加	1
操場	1
草	1
層	1
茶	1
查	1
差	1
常	1
常常	1
長	1
場	1
唱	1
朝	1
車	1
車站	1
城	1
城市	1
成	1
成績	1
吃	1
遲到	1
抽	1
出	1
出發	1
出來	1
出去	1
出現	1
出租汽車	1
除了…以外	1
穿	1
船	1
窗	1
窗戶	1
床	1
吹	1
春	1
春天	1
磁帶	1
詞	1
詞典	1
次	1
從	1
從…到…	1
從…起	1
從前	1
錯	1
錯誤	1
打	1
打算	1
大	1
大概	1
大家	1
大聲	1
大學	1
大夫	1
戴	1
帶	1
代表	1
但是	1
當	1
當然	1
刀	1
倒	1
到	1
道	1
道理	1
得	1
得到	1
的	1
地	1
…得很	1
燈	1
等	1
低	1
地方	1
第(第一)	1
弟弟	1
點	1
點心	1
點鐘	1
電	1
電車	1
電燈	1
電話	1
電視	1
電影	1
掉	1
丟	1
東	1
東邊	1
東西	1
冬	1
冬天	1
懂	1
動	1
動物	1
都	1
讀	1
短	1
鍛煉	1
段	1
對	1
對不起	1
頓	1
多	1
多麼	1
多少	1
餓	1
而且	1
兒子	1
二	1
發	1
發燒	1
發生	1
發現	1
發展	1
法語(法文)	1
翻	1
翻譯	1
反對	1
飯	1
飯店	1
方便	1
方法	1
方面	1
方向	1
房間	1
訪問	1
放	1
放假	1
非常	1
飛	1
飛機	1
分	1
…分之…	1
分鐘	1
豐富	1
封	1
風	1
夫人	1
服務	1
服務員	1
輔導	1
複習	1
複雜	1
父親	1
負責	1
附近	1
該	1
改	1
改變	1
乾凈	1
感到	1
感冒	1
感謝	1
敢	1
幹	1
幹部	1
剛	1
剛才	1
鋼筆	1
高	1
高興	1
搞	1
