#
# Heading: Word freq-Leeds internet corpus
#
# Source:
# http://corpus.leeds.ac.uk/
#   -> http://corpus.leeds.ac.uk/list.html
#       -> words from the Internet corpus [http://corpus.leeds.ac.uk/frqc/internet-zh.num]
#
# The original source contains 50,000 lexical types normalized to frequency per million (I think).
# I stripped out the non-Chinese words, and attempted to renormalize the new counts to counts
# per million, by multiplying by 1.207147131. The factor was determined by comparing with a known
# word count of words from the Lancaster Corpus of Mandarin Chinese (LCMC) and minimizing the
# differences.
#
#
#
#term	freq_per_million
的	54808
了	17162
我	15616
一	14340
在	11896
是	11557
他	7385
个	7135
你	6088
和	5548
不	5546
有	5437
就	5064
这	4954
也	4680
说	4516
人	4513
她	4402
着	4339
都	4058
我们	3426
上	3083
年	3008
要	2940
地	2904
对	2710
没有	2604
很	2601
到	2581
看	2518
去	2497
来	2488
中	2392
把	2341
自己	2319
还	2315
那	2191
会	2152
大	2128
又	2042
他们	2022
好	2001
多	1992
得	1946
为	1941
与	1941
而	1920
里	1913
两	1881
想	1871
什么	1825
被	1796
月	1795
从	1772
种	1751
给	1721
让	1666
但	1618
可以	1608
下	1598
时	1593
这个	1593
小	1576
点	1509
就是	1473
后	1445
之	1425
日	1383
能	1348
中国	1336
过	1325
用	1317
做	1272
知道	1265
等	1262
几	1248
将	1236
三	1221
因为	1218
最	1215
这样	1173
次	1150
时候	1127
没	1111
现在	1106
已经	1074
再	1045
吧	1040
天	1034
不是	1032
以	1021
时间	1003
还是	1001
走	989
更	983
呢	982
吗	980
可	962
只	942
问题	937
它	933
如果	930
家	921
啊	919
工作	887
才	860
却	858
向	838
所	821
问	819
新	819
吃	814
们	800
开始	784
元	784
出	776
话	774
像	765
真	765
事	756
但是	751
学生	750
于	750
或	746
跟	741
并	730
所以	727
第一	722
当	716
一些	712
儿	711
这些	705
还有	701
前	699
觉得	695
怎么	691
已	689
生活	686
不能	683
孩子	683
起来	670
名	655
听	646
一样	645
叫	632
大家	631
可能	625
本	623
比	619
您	617
钱	616
出来	611
看到	604
高	603
太	603
其	596
那么	595
爱	593
也是	592
位	591
找	589
长	588
喜欢	588
道	586
美国	583
很多	582
那个	581
笑	576
打	576
不会	574
东西	568
谁	564
北京	564
买	564
成	563
二	562
使	561
你们	560
写	556
条	554
这里	553
四	549
一起	536
如	536
由	531
地方	531
应该	531
请	527
非常	525
发现	524
不过	517
今天	516
带	513
这么	513
只是	513
岁	507
世界	504
坐	504
然后	503
一定	495
可是	490
进行	490
一直	488
公司	486
见	486
张	485
而且	483
便	482
需要	477
朋友	473
起	471
及	471
国家	470
只有	469
万	468
所有	467
分	466
个人	462
车	462
发展	456
最后	452
为了	451
开	450
手	449
告诉	447
认为	445
书	442
电话	441
学校	441
老师	440
学习	439
该	438
不要	436
老	430
以后	427
虽然	424
拿	422
当时	420
情况	415
站	415
之后	415
社会	414
比较	414
网	413
先	413
句	412
希望	410
内	407
为什么	407
件	403
感觉	400
记者	400
女人	400
无	398
五	398
号	395
第二	394
其实	393
事情	392
心	391
子	390
者	387
有些	383
连	382
到了	381
后来	381
则	380
那些	378
声	377
头	376
正	376
住	374
学	373
每	371
此	370
美	369
其他	369
水	368
过去	366
路	365
同学	363
回	363
讲	362
教育	361
死	361
阿	361
字	360
真的	359
文化	358
呀	358
特别	354
放	353
块	352
快	351
成为	351
当然	350
要求	350
花	350
拉	348
门	346
