original_word	pinyin	english	freq_per_mil	count_in_corpus
香港	Xiāng gǎng	Hong Kong	187.0	109
抗议者	kàng yì zhě	protester	0.78	41
校园	xiào yuán	campus	78.0	31
警方	jǐng fāng	police	45.0	29
政府	zhèng fǔ	government/CL:個|个[ge4]	203.0	28
警察	jǐng chá	police/police officer/CL:個|个[ge4]	141.0	25
大陆	Dà lù; dà lù	mainland China (reference to the PRC); continent/mainland/CL:個|个[ge4]	122.0	24
内地	Nèi dì; nèi dì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan)/Japan (used in Taiwan during Japanese colonization); inland/interior/hinterland	32.0	22
表示	biǎo shì	to express/to show/to say/to state/to indicate/to mean	247.0	20
大学	Dà xué; dà xué	the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism; university/college/CL:所[suo3]	324.0	19
运动	yùn dòng	to move/to exercise/sports/exercise/motion/movement/campaign/CL:場|场[chang3]	103.0	18
冲突	chōng tū	conflict/to conflict/clash of opposing forces/collision (of interests)/contention	37.0	18
生	shēng	to be born/to give birth/life/to grow/raw, uncooked	293.0	16
朱	Zhū; zhū	surname Zhu; vermilion; cinnabar/see 硃砂|朱砂[zhu1 sha1], cinnabar/mercuric sulfide HgS	30.0	15
骏	jùn	spirited horse	4.3	15
字节	zì jié	byte	24.0	14
周一	zhōu yī	Monday	14.0	14
跳动	tiào dòng	to throb/to pulse/to bounce/to jiggle/to jump about	8.5	14
香港中文大学	Xiāng gǎng Zhōng wén Dà xué	Chinese University of Hong Kong	1.2	14
自由	zì yóu	freedom/free/liberty/CL:個|个[ge4]	169.0	13
抗议	kàng yì	to protest/protest	30.0	13
香港人	Xiāng gǎng rén	Hong Kong person or people	0	13
局势	jú shì	situation/state (of affairs)	11.0	12
之间	zhī jiān	between/among/inter-	265.0	11
感到	gǎn dào	to feel/to sense/to have the feeling that/to think that/to move/to affect	241.0	11
政治	zhèng zhì	politics/political	182.0	11
用户	yòng hù	user/consumer/subscriber/customer	119.0	11
态度	tài du	manner/bearing/attitude/approach/CL:個|个[ge4]	107.0	11
数据	shù jù	data/numbers/digital	68.0	11
试图	shì tú	to attempt/to try	32.0	11
使用	shǐ yòng	to use/to employ/to apply/to make use of	295.0	10
对于	duì yú	regarding/as far as sth is concerned/with regards to	291.0	10
场	cháng; chǎng	threshing floor/classifier for events and happenings: spell, episode, bout; large place used for a specific purpose/stage/scene (of a play)/classifier for sporting or recreational activities/classifier for number of exams	275.0	10
其中	qí zhōng	among/in/included among these	275.0	10
表达	biǎo dá	to voice (an opinion)/to express/to convey	99.0	10
的话	de huà	if (coming after a conditional clause)	2.5	10
示威者	shì wēi zhě	demonstrator/protester	1.7	10
香港理工大学	Xiāng gǎng Lǐ gōng Dà xué	Hong Kong Polytechnic University	0	10
催泪瓦斯	cuī lèi wǎ sī	tear gas	0	10
如何	rú hé	how/what way/what	313.0	9
任何	rèn hé	any/whatever/whichever/whatsoever	307.0	9
甚至	shèn zhì	even/so much so that	294.0	9
结果	jiē guǒ; jié guǒ	to bear fruit/CL:個|个[ge4]; outcome/result/conclusion/in the end/as a result/to kill/to dispatch	287.0	9
离开	lí kāi	to depart/to leave	231.0	9
之前	zhī qián	before/prior to/ago/previously/beforehand	183.0	9
行为	xíng wéi	action/conduct/behavior/activity	152.0	9
比如	bǐ rú	for example/for instance/such as	148.0	9
担心	dān xīn	anxious/worried/uneasy/to worry/to be anxious	114.0	9
应用	yìng yòng	to use/to apply/application/applicable	66.0	9
破坏	pò huài	destruction/damage/to wreck/to break/to destroy	51.0	9
港	Gǎng; gǎng	Hong Kong, abbr. for 香港[Xiang1 gang3]/surname Gang; harbor/port/CL:個|个[ge4]	38.0	9
暴力	bào lì	violence/(use) force/violent	31.0	9
活动	huó dòng	to exercise/to move about/to operate/activity/loose/shaky/active/movable/maneuver/to use connections/CL:項|项[xiang4],個|个[ge4]	326.0	8
同时	tóng shí	at the same time/simultaneously	321.0	8
曾	Zēng; céng; zēng	surname Zeng; once/already/ever (in the past)/former/previously/(past tense marker used before verb or clause); great-grand (father, child etc)	289.0	8
作为	zuò wéi	one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be	289.0	8
至	zhì	to arrive/most/to/until	287.0	8
内容	nèi róng	content/substance/details/CL:個|个[ge4],項|项[xiang4]	269.0	8
以及	yǐ jí	as well as/too/and	264.0	8
如此	rú cǐ	in this way/so	252.0	8
目前	mù qián	at the present time/currently	231.0	8
是否	shì fǒu	whether (or not)/if/is or isn't	210.0	8
来自	lái zì	to come from (a place)/From: (in email header)	170.0	8
仍	réng	still/yet/to remain	162.0	8
保护	bǎo hù	to protect/to defend/to safeguard/protection/CL:種|种[zhong3]	120.0	8
拥有	yōng yǒu	to have/to possess	115.0	8
聊	liáo	to chat/to depend upon (literary)/temporarily/just/slightly	90.0	8
视频	shì pín	video	36.0	8
立场	lì chǎng	position/standpoint/CL:個|个[ge4]	27.0	8
法官	fǎ guān	a judge/to judge	22.0	8
认同	rèn tóng	to approve of/to endorse/to acknowledge/to recognize/to identify oneself with	20.0	8
基本法	jī běn fǎ	Basic Law	2.1	8
蒙面	méng miàn	masked/covered face	2.0	8
这种	zhè zhǒng	this/this kind of/this sort of/this type of	0	8
发生	fā shēng	to happen/to occur/to take place/to break out	309.0	7
人们	rén men	people	287.0	7
信息	xìn xī	information/news/message	246.0	7
包括	bāo kuò	to comprise/to include/to involve/to incorporate/to consist of	232.0	7
性	xìng	nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective, corresponding to -ness or -ity/essence/CL:個|个[ge4]	221.0	7
来说	lái shuō	to have one's say/to interpret a topic (from a certain point of view)/now we come to talk about it, ...	217.0	7
